t,s;x,m;y,m;z,m;Vx,m/s;Vy,m/s;Vz,m/s;V,m/s;tang,grad;risk,grad;kren,grad;omega_x,grad/s;omega_y,grad/s;omega_z,grad/s;alpha,grad;betta,grad;Ksi, grad;hi, grad;rg, m;ENGINE_WORKS;engine_done
3.1;414.878;1096.19;-0.0063405;119.353;300.536;-0.00391506;323.368;68.3989;-0.0152318;77.6259;-291.582;-0.610193;-0.135623;0.0187231;0.0558696;
3.2;426.781;1126.11;-0.00673654;118.714;297.946;-0.00400577;320.725;68.3361;-0.0152324;48.6505;-287.911;-0.472969;-0.418113;0.0447122;0.0411889;
3.3;438.622;1155.78;-0.00714139;118.101;295.428;-0.00409112;318.159;68.2726;-0.0153482;20.0361;-284.365;-0.218011;-0.600366;0.0607877;0.0153198;
3.4;450.403;1185.2;-0.00755454;117.514;292.978;-0.00417212;315.667;68.2084;-0.0156196;-8.22957;-280.94;0.0928802;-0.640257;0.0625711;-0.01569;
3.5;462.126;1214.38;-0.00797562;116.951;290.593;-0.00424978;313.244;68.1433;-0.0160452;-36.1583;-277.63;0.386549;-0.529388;0.049172;-0.044316;
3.6;473.795;1243.32;-0.00840434;116.41;288.27;-0.00432499;310.887;68.0773;-0.0165933;-63.7614;-274.429;0.595207;-0.294076;0.023499;-0.0635317;
3.7;485.41;1272.04;-0.00884048;115.892;286.004;-0.00439814;308.593;68.0105;-0.0172139;-91.0495;-271.331;0.671762;0.0115076;-0.00853977;-0.068635;
3.8;496.974;1300.53;-0.00928383;115.394;283.794;-0.00446929;306.358;67.9429;-0.0178509;-118.033;-268.33;0.59995;0.318566;-0.0396239;-0.0583344;
3.9;508.49;1328.8;-0.0097342;114.915;281.637;-0.00453841;304.179;67.8747;-0.0184574;-144.72;-265.421;0.3968;0.559812;-0.06283;-0.0348639;
4;519.958;1356.86;-0.0101914;114.456;279.53;-0.00460521;302.055;67.8057;-0.0190033;-171.121;-262.6;0.107238;0.684305;-0.0731441;-0.00325385;
4.1;531.382;1384.71;-0.0106551;114.012;277.465;-0.00467002;299.976;67.7361;-0.0194729;162.75;-260.058;-0.207322;0.667795;-0.0683727;0.0299135;
4.2;542.762;1412.36;-0.0111253;113.579;275.43;-0.00473442;297.929;67.6659;-0.0198559;136.849;-258.003;-0.483591;0.515426;-0.049329;0.0578672;
4.3;554.098;1439.8;-0.0116019;113.155;273.422;-0.00479826;295.911;67.5948;-0.0201639;111.142;-256.144;-0.667056;0.257387;-0.0196714;0.0748217;
4.4;565.393;1467.04;-0.0120849;112.741;271.44;-0.00486122;293.922;67.5229;-0.0204253;85.6164;-254.369;-0.721372;-0.0559565;0.0147236;0.0771689;
4.5;576.647;1494.09;-0.012574;112.336;269.484;-0.00492317;291.96;67.4501;-0.0206718;60.2657;-252.64;-0.635376;-0.363674;0.0469859;0.064276;
4.6;587.861;1520.94;-0.0130694;111.939;267.553;-0.00498423;290.026;67.3765;-0.0209331;35.0863;-250.942;-0.425138;-0.606187;0.0707083;0.0385924;
4.7;599.036;1547.6;-0.0135708;111.552;265.646;-0.0050445;288.117;67.302;-0.0212296;10.0754;-249.27;-0.130522;-0.736865;0.0812496;0.00506951;
4.8;610.172;1574.07;-0.0140782;111.173;263.762;-0.005104;286.234;67.2268;-0.0215684;-14.7695;-247.621;0.192922;-0.730809;0.0765899;-0.0299122;
4.9;621.271;1600.36;-0.0145915;110.802;261.901;-0.00516292;284.375;67.1509;-0.0219454;-39.4505;-245.995;0.4849;-0.589094;0.0576037;-0.059822;
5;632.333;1626.46;-0.0151107;110.438;260.062;-0.00522143;282.54;67.0742;-0.0223516;-63.97;-244.39;0.691804;-0.337843;0.0277712;-0.0791854;
5.1;643.359;1652.37;-0.0156357;110.083;258.244;-0.00527953;280.728;66.9969;-0.0227741;-88.3301;-242.806;0.776337;-0.0226505;-0.00754842;-0.0845114;
